Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MX (kNm),MZ (kNm),Length (m)
 91/ 57/ 6 (C),747.95,10.53,-3.71,-0.51,-14.46,2.8
 91/ 57/ 7 (C),490.79,6.46,-2.38,-0.33,-8.87,2.8
 92/ 55/ 6 (C),0,0,72.13,0.67,0,3.675
 92/ 55/ 7 (C),0,0,47.05,0.35,0,3.675
 92/ 56/ 6 (C),0,0,-3.32,0.67,0,3.675
 92/ 56/ 7 (C),0,0,-2.05,0.35,0,3.675
 93/ 21/ 6 (C),332.19,8.81,38.21,-0.51,12.94,2.8
 93/ 21/ 7 (C),219.56,5.12,25.01,-0.33,7.5,2.8
 93/ 56/ 6 (C),317.07,8.81,38.21,-0.51,-11.74,2.8
 93/ 56/ 7 (C),208.36,5.12,25.01,-0.33,-6.84,2.8
 94/ 20/ 6 (C),490.86,8.79,-39.51,-0.51,12.69,2.8
 94/ 20/ 7 (C),327.16,5.6,-25.73,-0.33,8.08,2.8
 94/ 55/ 6 (C),475.74,8.79,-39.51,-0.51,-11.93,2.8
 94/ 55/ 7 (C),315.96,5.6,-25.73,-0.33,-7.6,2.8
 95/ 53/ 6 (C),0,0,-42.05,1.77,0,3.775
 95/ 53/ 7 (C),0,0,-28.01,0.98,0,3.775
 95/ 54/ 6 (C),0,0,-120.74,1.77,0,3.775
 95/ 54/ 7 (C),0,0,-79.16,0.98,0,3.775
 96/ 46/ 6 (C),0,0,33.44,1.94,0,3.525
 96/ 46/ 7 (C),0,0,21.8,1.34,0,3.525
 96/ 54/ 6 (C),0,0,-36.95,1.94,0,3.525
 96/ 54/ 7 (C),0,0,-24.09,1.34,0,3.525
 97/ 52/ 6 (C),0,0,64.19,13.2,0,2.15
 97/ 52/ 7 (C),0,0,42.74,8.45,0,2.15
 97/ 53/ 6 (C),0,0,32.35,13.2,0,2.15
