"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 21/ 91/ 3,24.21,1.56,0.01,0.04,-2.19,2.800"
" 21/ 91/ 4,6.31,0.00,0.01,0.01,-0.01,2.800"
" 21/ 91/ 6,322.11,12.62,-0.05,0.17,-17.36,2.800"
" 21/ 91/ 7,206.81,7.75,-0.03,0.13,-10.78,2.800"
" 22/ 89/ 1,0.00,-0.00,0.58,14.72,-0.00,3.700"
" 22/ 89/ 2,0.00,-0.00,0.14,6.95,-0.00,3.700"
" 22/ 89/ 3,0.00,-0.00,0.80,2.53,-0.00,3.700"
" 22/ 89/ 4,0.00,0.00,-0.36,0.72,0.00,3.700"
" 22/ 89/ 6,0.00,-0.00,1.66,35.14,-0.00,3.700"
" 22/ 89/ 7,0.00,-0.00,0.85,22.63,-0.00,3.700"
" 22/ 90/ 1,0.00,-0.00,-24.63,-29.78,0.00,3.700"
" 22/ 90/ 2,0.00,-0.00,-11.84,-14.70,0.00,3.700"
" 22/ 90/ 3,0.00,-0.00,-6.05,-7.18,0.00,3.700"
" 22/ 90/ 4,0.00,0.00,-0.36,-0.61,-0.00,3.700"
" 22/ 90/ 6,0.00,-0.00,-60.60,-73.89,0.00,3.700"
" 22/ 90/ 7,0.00,-0.00,-38.38,-46.80,0.00,3.700"
" 23/ 57/ 1,191.94,2.95,4.45,-6.59,4.10,2.800"
" 23/ 57/ 2,91.77,1.93,2.13,-3.16,2.68,2.800"
" 23/ 57/ 3,36.62,1.12,0.93,-1.37,1.58,2.800"
" 23/ 57/ 4,7.91,-0.01,0.15,-0.22,-0.02,2.800"
" 23/ 57/ 6,463.36,8.62,10.81,-15.85,11.58,2.800"
" 23/ 57/ 7,296.98,5.24,6.90,-10.16,7.12,2.800"
" 23/ 90/ 1,187.57,2.95,4.45,5.88,-4.16,2.800"
" 23/ 90/ 2,91.77,1.93,2.13,2.81,-2.72,2.800"
" 23/ 90/ 3,36.62,1.12,0.93,1.22,-1.57,2.800"
" 23/ 90/ 4,7.91,-0.01,0.15,0.20,0.01,2.800"
" 23/ 90/ 6,457.45,8.62,10.81,14.14,-11.70,2.800"
" 23/ 90/ 7,292.61,5.24,6.90,9.07,-7.21,2.800"
" 24/ 88/ 1,-0.00,-0.00,23.97,-25.28,-0.00,3.675"
" 24/ 88/ 2,-0.00,-0.00,11.55,-12.50,-0.00,3.675"
" 24/ 88/ 3,-0.00,0.00,5.91,-6.09,0.00,3.675"
" 24/ 88/ 4,0.00,-0.00,0.35,-0.53,-0.00,3.675"
" 24/ 88/ 6,-0.00,-0.00,59.17,-62.91,-0.00,3.675"
" 24/ 88/ 7,-0.00,-0.00,37.44,-39.81,-0.00,3.675"
" 24/ 89/ 1,-0.00,-0.00,-0.95,17.02,0.00,3.675"
" 24/ 89/ 2,-0.00,-0.00,-0.26,8.24,0.00,3.675"
" 24/ 89/ 3,-0.00,0.00,-0.84,3.22,-0.00,3.675"
" 24/ 89/ 4,0.00,-0.00,0.35,0.74,0.00,3.675"
" 24/ 89/ 6,-0.00,-0.00,-2.33,41.53,0.00,3.675"
" 24/ 89/ 7,-0.00,-0.00,-1.33,26.55,0.00,3.675"
" 25/ 56/ 1,81.20,1.95,-0.64,1.42,2.69,2.800"
" 25/ 56/ 2,38.38,1.56,-0.30,0.68,2.16,2.800"
" 25/ 56/ 3,11.67,1.06,-0.13,0.30,1.49,2.800"
" 25/ 56/ 4,5.13,-0.09,-0.02,0.04,-0.13,2.800"
" 25/ 56/ 6,191.86,6.39,-1.64,3.63,8.75,2.800"
" 25/ 56/ 7,124.40,3.79,-1.03,2.27,5.19,2.800"
" 25/ 89/ 1,76.82,1.95,-0.64,-0.37,-2.77,2.800"
" 25/ 89/ 2,38.38,1.56,-0.30,-0.17,-2.21,2.800"
" 25/ 89/ 3,11.67,1.06,-0.13,-0.07,-1.48,2.800"
" 25/ 89/ 4,5.13,-0.09,-0.02,-0.01,0.11,2.800"
" 25/ 89/ 6,185.95,6.39,-1.64,-1.09,-8.95,2.800"
" 25/ 89/ 7,120.03,3.79,-1.03,-0.65,-5.33,2.800"
" 26/ 55/ 1,118.39,2.31,-8.58,11.66,3.19,2.800"
" 26/ 55/ 2,50.66,1.25,-4.29,5.83,1.73,2.800"
" 26/ 55/ 3,20.78,0.69,-2.09,2.85,0.96,2.800"
" 26/ 55/ 4,4.09,0.01,-0.18,0.24,0.01,2.800"
" 26/ 55/ 6,273.22,6.01,-21.38,29.14,8.27,2.800"
" 26/ 55/ 7,176.55,3.76,-13.54,18.42,5.17,2.800"
" 26/ 88/ 1,114.02,2.31,-8.58,-12.38,-3.27,2.800"
" 26/ 88/ 2,50.66,1.25,-4.29,-6.18,-1.78,2.800"
" 26/ 88/ 3,20.78,0.69,-2.09,-3.00,-0.97,2.800"
" 26/ 88/ 4,4.09,0.01,-0.18,-0.27,-0.02,2.800"
" 26/ 88/ 6,267.31,6.01,-21.38,-30.90,-8.48,2.800"
" 26/ 88/ 7,172.18,3.76,-13.54,-19.54,-5.31,2.800"
" 27/ 86/ 1,0.00,-0.00,-12.34,46.56,-0.00,3.775"
" 27/ 86/ 2,0.00,-0.00,-5.58,21.39,-0.00,3.775"
" 27/ 86/ 3,0.00,-0.00,-1.69,8.95,-0.00,3.775"
" 27/ 86/ 4,0.00,0.00,-0.75,1.63,0.00,3.775"
" 27/ 86/ 6,0.00,-0.00,-28.38,110.45,-0.00,3.775"
" 27/ 86/ 7,0.00,-0.00,-18.53,70.98,-0.00,3.775"
" 27/ 87/ 1,0.00,-0.00,-38.33,-49.09,0.00,3.775"
" 27/ 87/ 2,0.00,-0.00,-18.00,-23.12,0.00,3.775"
" 27/ 87/ 3,0.00,-0.00,-8.79,-10.83,0.00,3.775"
" 27/ 87/ 4,0.00,0.00,-0.75,-1.19,-0.00,3.775"
" 27/ 87/ 6,0.00,-0.00,-92.73,-118.14,0.00,3.775"
" 27/ 87/ 7,0.00,-0.00,-59.07,-75.48,0.00,3.775"
" 28/ 79/ 1,-0.00,-0.00,9.51,-3.24,-0.00,3.525"
" 28/ 79/ 2,-0.00,-0.00,4.40,-1.59,-0.00,3.525"
" 28/ 79/ 3,-0.00,-0.00,2.68,-1.20,-0.00,3.525"
" 28/ 79/ 4,-0.00,-0.00,-0.09,0.14,-0.00,3.525"
" 28/ 79/ 6,-0.00,-0.00,22.89,-7.65,-0.00,3.525"
" 28/ 79/ 7,-0.00,-0.00,14.51,-4.88,-0.00,3.525"
" 28/ 87/ 1,-0.00,-0.00,-13.73,-10.68,0.00,3.525"
" 28/ 87/ 2,-0.00,-0.00,-6.48,-5.26,0.00,3.525"
" 28/ 87/ 3,-0.00,-0.00,-3.53,-2.69,0.00,3.525"
" 28/ 87/ 4,-0.00,-0.00,-0.09,-0.16,0.00,3.525"
" 28/ 87/ 6,-0.00,-0.00,-34.11,-27.43,0.00,3.525"
" 28/ 87/ 7,-0.00,-0.00,-21.47,-17.13,0.00,3.525"
" 29/ 54/ 1,217.09,-3.76,18.16,-26.14,-5.38,2.800"
" 29/ 54/ 2,93.85,-1.91,8.60,-12.39,-2.74,2.800"
" 29/ 54/ 3,42.08,-1.00,4.03,-5.80,-1.44,2.800"
" 29/ 54/ 4,5.77,-0.04,0.44,-0.64,-0.06,2.800"
" 29/ 54/ 6,506.27,-9.29,44.36,-63.08,-14.12,2.800"
" 29/ 54/ 7,325.56,-5.90,28.19,-40.29,-8.77,2.800"
" 29/ 87/ 1,212.72,-3.76,18.16,24.70,5.15,2.800"
" 29/ 87/ 2,93.85,-1.91,8.60,11.69,2.61,2.800"
" 29/ 87/ 3,42.08,-1.00,4.03,5.47,1.37,2.800"
" 29/ 87/ 4,5.77,-0.04,0.44,0.60,0.06,2.800"
