"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 71/ 87/ 6,481.83,8.31,2.44,1.93,-11.46,2.80"
" 71/ 87/ 7,321.24,5.08,1.33,0.72,-6.88,2.80"
" 72/ 72/ 6,264.26,4.24,76.12,-95.41,6.22,2.80"
" 72/ 72/ 7,178.09,2.60,49.07,-60.60,3.90,2.80"
" 72/ 88/ 6,249.14,4.24,76.12,117.74,-5.67,2.80"
" 72/ 88/ 7,166.89,2.60,49.07,76.79,-3.39,2.80"
" 73/ 73/ 6,264.26,-4.24,-76.12,95.41,-6.22,2.80"
" 73/ 73/ 7,178.09,-2.60,-49.07,60.60,-3.90,2.80"
" 73/ 89/ 6,249.14,-4.24,-76.12,-117.74,5.67,2.80"
" 73/ 89/ 7,166.89,-2.60,-49.07,-76.79,3.39,2.80"
" 74/ 74/ 6,496.95,-8.31,-2.44,4.91,-11.81,2.80"
" 74/ 74/ 7,332.44,-5.08,-1.33,3.01,-7.35,2.80"
" 74/ 90/ 6,481.83,-8.31,-2.44,-1.93,11.46,2.80"
" 74/ 90/ 7,321.24,-5.08,-1.33,-0.72,6.88,2.80"
" 75/ 75/ 6,496.95,-8.31,2.44,-4.91,-11.81,2.80"
" 75/ 75/ 7,332.44,-5.08,1.33,-3.01,-7.35,2.80"
" 75/ 91/ 6,481.83,-8.31,2.44,1.93,11.46,2.80"
" 75/ 91/ 7,321.24,-5.08,1.33,0.72,6.88,2.80"
" 76/ 76/ 6,264.26,-4.24,76.12,-95.41,-6.22,2.80"
" 76/ 76/ 7,178.09,-2.60,49.07,-60.60,-3.90,2.80"
" 76/ 92/ 6,249.14,-4.24,76.12,117.74,5.67,2.80"
" 76/ 92/ 7,166.89,-2.60,49.07,76.79,3.39,2.80"
" 77/ 77/ 6,146.75,-31.54,-45.84,56.67,-39.38,2.80"
" 77/ 77/ 7,99.68,-20.56,-29.95,36.53,-25.40,2.80"
" 77/ 93/ 6,131.63,-31.54,-45.84,-71.69,48.92,2.80"
" 77/ 93/ 7,88.48,-20.56,-29.95,-47.34,32.17,2.80"
" 78/ 78/ 6,277.96,-53.37,-0.99,2.54,-67.35,2.80"
" 78/ 78/ 7,187.25,-34.29,-0.49,1.56,-42.76,2.80"
" 78/ 94/ 6,262.84,-53.37,-0.99,-0.22,82.10,2.80"
" 78/ 94/ 7,176.05,-34.29,-0.49,0.18,53.26,2.80"
" 79/ 79/ 6,277.96,-53.37,0.99,-2.54,-67.35,2.80"
" 79/ 79/ 7,187.25,-34.29,0.49,-1.56,-42.76,2.80"
" 79/ 95/ 6,262.84,-53.37,0.99,0.22,82.10,2.80"
" 79/ 95/ 7,176.05,-34.29,0.49,-0.18,53.26,2.80"
" 80/ 80/ 6,146.75,-31.54,45.84,-56.67,-39.38,2.80"
" 80/ 80/ 7,99.68,-20.56,29.95,-36.53,-25.40,2.80"
" 80/ 96/ 6,131.63,-31.54,45.84,71.69,48.92,2.80"
" 80/ 96/ 7,88.48,-20.56,29.95,47.34,32.17,2.80"
" 81/ 17/ 6,0.0,0.0,80.79,-78.97,0.00,6.00"
" 81/ 17/ 7,0.0,0.00,51.54,-50.01,0.00,6.00"
" 81/ 18/ 6,0.0,0.0,-89.85,-106.17,0.00,6.00"
" 81/ 18/ 7,0.0,0.00,-57.26,-67.15,-0.00,6.00"
" 82/ 18/ 6,0.0,-0.00,85.32,-102.02,-0.00,6.00"
" 82/ 18/ 7,0.0,-0.00,54.40,-64.54,-0.00,6.00"
" 82/ 19/ 6,0.0,-0.00,-85.32,-102.02,0.00,6.00"
" 82/ 19/ 7,0.0,-0.00,-54.40,-64.54,0.00,6.00"
" 83/ 19/ 6,0.0,0.00,89.85,-106.17,0.00,6.00"
" 83/ 19/ 7,0.0,0.00,57.26,-67.15,0.00,6.00"
" 83/ 20/ 6,0.0,0.00,-80.79,-78.97,-0.00,6.00"
" 83/ 20/ 7,0.0,0.00,-51.54,-50.01,-0.00,6.00"
" 84/ 21/ 6,0.0,0.0,142.92,-145.16,0.00,6.00"
" 84/ 21/ 7,0.0,0.00,89.18,-90.14,0.00,6.00"
" 84/ 22/ 6,0.0,0.0,-157.86,-189.98,0.00,6.00"
" 84/ 22/ 7,0.0,0.00,-98.42,-117.85,-0.00,6.00"
" 85/ 22/ 6,0.0,-0.00,150.39,-183.26,-0.00,6.00"
" 85/ 22/ 7,0.0,-0.00,93.80,-113.73,-0.00,6.00"
" 85/ 23/ 6,0.0,-0.00,-150.39,-183.26,0.00,6.00"
" 85/ 23/ 7,0.0,-0.00,-93.80,-113.73,0.00,6.00"
" 86/ 23/ 6,0.0,0.00,157.86,-189.98,0.00,6.00"
" 86/ 23/ 7,0.0,0.00,98.42,-117.85,0.00,6.00"
" 86/ 24/ 6,0.0,0.00,-142.92,-145.16,-0.00,6.00"
" 86/ 24/ 7,0.0,0.00,-89.18,-90.14,-0.00,6.00"
" 87/ 25/ 6,0.0,0.0,142.92,-145.16,0.00,6.00"
" 87/ 25/ 7,0.0,0.00,89.18,-90.14,0.00,6.00"
" 87/ 26/ 6,0.0,0.0,-157.86,-189.98,0.00,6.00"
" 87/ 26/ 7,0.0,0.00,-98.42,-117.85,-0.00,6.00"
