Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)
 135/ 90/ 6,0,0,-143.84,-163.61,0,6
 136/ 90/ 6,0,0,137.26,-165.67,0,6
 136/ 91/ 6,0,0,-137.26,-165.67,0,6
 137/ 91/ 6,0,0,143.84,-163.61,0,6
 137/ 92/ 6,0,0,-130.69,-124.16,0,6
 138/ 93/ 6,0,0,74.08,-65.26,0,6
 138/ 94/ 6,0,0,-83.44,-93.34,0,6
 139/ 94/ 6,0,0,78.76,-93.44,0,6
 139/ 95/ 6,0,0,-78.76,-93.44,0,6
 140/ 95/ 6,0,0,83.44,-93.34,0,6
 140/ 96/ 6,0,0,-74.08,-65.26,0,6
 141/ 17/ 6,0,0,60.85,-50.24,0,5
 141/ 21/ 6,0,0,-65.86,-62.75,0,5
 142/ 18/ 6,0,0,106.17,-91.68,0,5
 142/ 22/ 6,0,0,-113.49,-109.98,0,5
 143/ 19/ 6,0,0,106.17,-91.68,0,5
 143/ 23/ 6,0,0,-113.49,-109.98,0,5
 144/ 20/ 6,0,0,60.85,-50.24,0,5
 144/ 24/ 6,0,0,-65.86,-62.75,0,5
 145/ 21/ 6,0,0,63.35,-62.76,0,5
 145/ 25/ 6,0,0,-63.35,-62.76,0,5
 146/ 22/ 6,0,0,109.83,-111.14,0,5
 146/ 26/ 6,0,0,-109.83,-111.14,0,5
 147/ 23/ 6,0,0,109.83,-111.14,0,5
 147/ 27/ 6,0,0,-109.83,-111.14,0,5
 148/ 24/ 6,0,0,63.35,-62.76,0,5
 148/ 28/ 6,0,0,-63.35,-62.76,0,5
 149/ 25/ 6,0,0,65.86,-62.75,0,5
 149/ 29/ 6,0,0,-60.85,-50.24,0,5
 150/ 26/ 6,0,0,113.49,-109.98,0,5
 150/ 30/ 6,0,0,-106.17,-91.68,0,5
 151/ 27/ 6,0,0,113.49,-109.98,0,5
 151/ 31/ 6,0,0,-106.17,-91.68,0,5
 152/ 28/ 6,0,0,65.86,-62.75,0,5
 152/ 32/ 6,0,0,-60.85,-50.24,0,5
 153/ 33/ 6,0,0,63.94,-59.13,0,5
 153/ 37/ 6,0,0,-62.76,-56.19,0,5
 154/ 34/ 6,0,0,111.8,-107.59,0,5
 154/ 38/ 6,0,0,-107.86,-97.75,0,5
 155/ 35/ 6,0,0,111.8,-107.59,0,5
 155/ 39/ 6,0,0,-107.86,-97.75,0,5
 156/ 36/ 6,0,0,63.94,-59.13,0,5
 156/ 40/ 6,0,0,-62.76,-56.19,0,5
 157/ 37/ 6,0,0,63.35,-61.32,0,5
 157/ 41/ 6,0,0,-63.35,-61.32,0,5
 158/ 38/ 6,0,0,109.83,-108.68,0,5
 158/ 42/ 6,0,0,-109.83,-108.68,0,5
 159/ 39/ 6,0,0,109.83,-108.68,0,5
 159/ 43/ 6,0,0,-109.83,-108.68,0,5
 160/ 40/ 6,0,0,63.35,-61.32,0,5
 160/ 44/ 6,0,0,-63.35,-61.32,0,5
 161/ 41/ 6,0,0,62.76,-56.19,0,5
 161/ 45/ 6,0,0,-63.94,-59.13,0,5
 162/ 42/ 6,0,0,107.86,-97.75,0,5
 162/ 46/ 6,0,0,-111.8,-107.59,0,5
 163/ 43/ 6,0,0,107.86,-97.75,0,5
 163/ 47/ 6,0,0,-111.8,-107.59,0,5
 164/ 44/ 6,0,0,62.76,-56.19,0,5
 164/ 48/ 6,0,0,-63.94,-59.13,0,5
 165/ 49/ 6,0,0,65.35,-62.14,0,5
 165/ 53/ 6,0,0,-61.36,-52.16,0,5
 166/ 50/ 6,0,0,114.56,-113.74,0,5
 166/ 54/ 6,0,0,-105.1,-90.09,0,5
 167/ 51/ 6,0,0,114.56,-113.74,0,5
 167/ 55/ 6,0,0,-105.1,-90.09,0,5
 168/ 52/ 6,0,0,65.35,-62.14,0,5
 168/ 56/ 6,0,0,-61.36,-52.16,0,5
 169/ 53/ 6,0,0,63.35,-60.88,0,5
 169/ 57/ 6,0,0,-63.35,-60.88,0,5
 170/ 54/ 6,0,0,109.83,-107.81,0,5
 170/ 58/ 6,0,0,-109.83,-107.81,0,5
 171/ 55/ 6,0,0,109.83,-107.81,0,5
 171/ 59/ 6,0,0,-109.83,-107.81,0,5
 172/ 56/ 6,0,0,63.35,-60.88,0,5
 172/ 60/ 6,0,0,-63.35,-60.88,0,5
 173/ 57/ 6,0,0,61.36,-52.16,0,5
 173/ 61/ 6,0,0,-65.35,-62.14,0,5
 174/ 58/ 6,0,0,105.1,-90.09,0,5
 174/ 62/ 6,0,0,-114.56,-113.74,0,5
 175/ 59/ 6,0,0,105.1,-90.09,0,5
 175/ 63/ 6,0,0,-114.56,-113.74,0,5
 176/ 60/ 6,0,0,61.36,-52.16,0,5
 176/ 64/ 6,0,0,-65.35,-62.14,0,5
 177/ 65/ 6,0,0,67.32,-68.18,0,5
 177/ 69/ 6,0,0,-59.39,-48.37,0,5
 178/ 66/ 6,0,0,117.96,-123.85,0,5
 178/ 70/ 6,0,0,-101.7,-83.2,0,5
 179/ 67/ 6,0,0,117.96,-123.85,0,5
 179/ 71/ 6,0,0,-101.7,-83.2,0,5
 180/ 68/ 6,0,0,67.32,-68.18,0,5
 180/ 72/ 6,0,0,-59.39,-48.37,0,5
 181/ 69/ 6,0,0,63.35,-60.01,0,5
 181/ 73/ 6,0,0,-63.35,-60.01,0,5
 182/ 70/ 6,0,0,109.83,-106.46,0,5
 182/ 74/ 6,0,0,-109.83,-106.46,0,5
 183/ 71/ 6,0,0,109.83,-106.46,0,5
 183/ 75/ 6,0,0,-109.83,-106.46,0,5
 184/ 72/ 6,0,0,63.35,-60.01,0,5
 184/ 76/ 6,0,0,-63.35,-60.01,0,5
 185/ 73/ 6,0,0,59.39,-48.37,0,5
 185/ 77/ 6,0,0,-67.32,-68.18,0,5
 186/ 74/ 6,0,0,101.7,-83.2,0,5
 186/ 78/ 6,0,0,-117.96,-123.85,0,5
 187/ 75/ 6,0,0,101.7,-83.2,0,5
 187/ 79/ 6,0,0,-117.96,-123.85,0,5
 188/ 76/ 6,0,0,59.39,-48.37,0,5
 188/ 80/ 6,0,0,-67.32,-68.18,0,5
 189/ 81/ 6,0,0,57.55,-45.07,0,5
 189/ 85/ 6,0,0,-59.78,-50.66,0,5
 190/ 82/ 6,0,0,100.64,-85.95,0,5
 190/ 86/ 6,0,0,-100.27,-85.01,0,5
 191/ 83/ 6,0,0,100.64,-85.95,0,5
 191/ 87/ 6,0,0,-100.27,-85.01,0,5
 192/ 84/ 6,0,0,57.55,-45.07,0,5
 192/ 88/ 6,0,0,-59.78,-50.66,0,5
 193/ 85/ 6,0,0,58.67,-55.73,0,5
 193/ 89/ 6,0,0,-58.67,-55.73,0,5
 194/ 86/ 6,0,0,100.46,-97.07,0,5
 194/ 90/ 6,0,0,-100.46,-97.07,0,5
 195/ 87/ 6,0,0,100.46,-97.07,0,5
 195/ 91/ 6,0,0,-100.46,-97.07,0,5
 196/ 88/ 6,0,0,58.67,-55.73,0,5
 196/ 92/ 6,0,0,-58.67,-55.73,0,5
 197/ 89/ 6,0,0,59.78,-50.66,0,5
 197/ 93/ 6,0,0,-57.55,-45.07,0,5
 198/ 90/ 6,0,0,100.27,-85.01,0,5
 198/ 94/ 6,0,0,-100.64,-85.95,0,5
 199/ 91/ 6,0,0,100.27,-85.01,0,5
 199/ 95/ 6,0,0,-100.64,-85.95,0,5
 200/ 92/ 6,0,0,59.78,-50.66,0,5
 200/ 96/ 6,0,0,-57.55,-45.07,0,5
