"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 7/ 23/ 28 (C),1551.44,-91.01,79.51,34.76,74.62,3.30"
" 7/ 23/ 29 (C),1476.55,100.90,-88.97,-43.30,-81.65,3.30"
" 7/ 23/ 30 (C),1497.49,100.90,79.50,34.75,-81.64,3.30"
" 7/ 23/ 31 (C),1530.50,-91.00,-88.97,-43.29,74.61,3.30"
" 7/ 23/ 32 (C),1537.03,-55.03,49.79,22.00,46.01,3.30"
" 7/ 23/ 33 (C),1496.17,47.45,-47.14,-22.92,-37.44,3.30"
" 7/ 23/ 34 (C),1508.22,47.45,49.79,21.99,-37.43,3.30"
" 7/ 23/ 35 (C),1524.98,-55.03,-47.14,-22.91,46.00,3.30"
" 7/ 23/ 36 (C),1535.18,-48.83,45.49,19.29,40.48,3.30"
" 7/ 23/ 37 (C),1494.33,53.65,-51.44,-25.62,-42.98,3.30"
" 7/ 23/ 38 (C),1506.37,53.65,45.49,19.28,-42.97,3.30"
" 7/ 23/ 39 (C),1523.13,-48.83,-51.44,-25.62,40.47,3.30"
" 7/ 23/ 40 (C),1506.34,-0.69,-0.82,-1.81,1.52,3.30"
" 8/ 8/ 22 (C),811.90,-0.19,16.85,-18.54,-0.21,3.30"
" 8/ 8/ 23 (C),1281.46,-0.35,27.51,-30.26,-0.38,3.30"
" 8/ 8/ 24 (C),887.07,-52.92,51.58,-119.18,-121.74,3.30"
" 8/ 8/ 25 (C),708.61,36.66,-15.60,74.57,85.73,3.30"
" 8/ 8/ 26 (C),874.09,36.65,51.58,-119.17,85.72,3.30"
" 8/ 8/ 27 (C),721.60,-52.91,-15.60,74.56,-121.72,3.30"
" 8/ 8/ 28 (C),879.35,-37.03,48.26,-110.49,-86.14,3.30"
" 8/ 8/ 29 (C),700.89,52.56,-18.92,83.25,121.33,3.30"
" 8/ 8/ 30 (C),866.36,52.54,48.26,-110.49,121.32,3.30"
" 8/ 8/ 31 (C),713.87,-37.02,-18.91,83.24,-86.12,3.30"
" 8/ 8/ 32 (C),847.17,-28.47,36.57,-76.08,-65.39,3.30"
" 8/ 8/ 33 (C),745.04,19.36,-2.08,35.38,45.41,3.30"
" 8/ 8/ 34 (C),840.24,19.36,36.57,-76.08,45.40,3.30"
" 8/ 8/ 35 (C),751.97,-28.47,-2.08,35.38,-65.38,3.30"
" 8/ 8/ 36 (C),842.93,-19.73,34.74,-71.31,-45.81,3.30"
" 8/ 8/ 37 (C),740.79,28.11,-3.91,40.16,64.98,3.30"
" 8/ 8/ 38 (C),835.99,28.10,34.74,-71.31,64.97,3.30"
" 8/ 8/ 39 (C),747.72,-19.73,-3.91,40.15,-45.80,3.30"
" 8/ 8/ 40 (C),789.67,-0.18,16.33,-17.96,-0.20,3.30"
" 8/ 24/ 22 (C),798.95,-0.19,16.85,37.08,0.43,3.30"
" 8/ 24/ 23 (C),1263.98,-0.35,27.51,60.52,0.77,3.30"
" 8/ 24/ 24 (C),874.12,-52.92,51.58,51.04,52.91,3.30"
" 8/ 24/ 25 (C),695.66,36.66,-15.60,23.08,-35.24,3.30"
" 8/ 24/ 26 (C),861.14,36.65,51.58,51.03,-35.22,3.30"
" 8/ 24/ 27 (C),708.65,-52.91,-15.60,23.09,52.89,3.30"
" 8/ 24/ 28 (C),866.40,-37.03,48.26,48.77,36.05,3.30"
" 8/ 24/ 29 (C),687.94,52.56,-18.92,20.81,-52.10,3.30"
" 8/ 24/ 30 (C),853.41,52.54,48.26,48.76,-52.08,3.30"
" 8/ 24/ 31 (C),700.92,-37.02,-18.91,20.82,36.03,3.30"
" 8/ 24/ 32 (C),834.22,-28.47,36.57,44.59,28.58,3.30"
" 8/ 24/ 33 (C),732.08,19.36,-2.08,28.51,-18.50,3.30"
" 8/ 24/ 34 (C),827.29,19.36,36.57,44.59,-18.48,3.30"
" 8/ 24/ 35 (C),739.02,-28.47,-2.08,28.51,28.56,3.30"
" 8/ 24/ 36 (C),829.97,-19.73,34.74,43.34,19.31,3.30"
" 8/ 24/ 37 (C),727.84,28.11,-3.91,27.26,-27.77,3.30"
" 8/ 24/ 38 (C),823.04,28.10,34.74,43.34,-27.75,3.30"
" 8/ 24/ 39 (C),734.77,-19.73,-3.91,27.27,19.29,3.30"
" 8/ 24/ 40 (C),776.72,-0.18,16.33,35.92,0.41,3.30"
" 9/ 9/ 22 (C),811.90,0.19,-16.85,18.54,0.21,3.30"
" 9/ 9/ 23 (C),1281.46,0.35,-27.51,30.26,0.38,3.30"
" 9/ 9/ 24 (C),708.61,-36.66,15.60,-74.57,-85.73,3.30"
" 9/ 9/ 25 (C),887.07,52.92,-51.58,119.18,121.74,3.30"
" 9/ 9/ 26 (C),721.60,52.91,15.60,-74.56,121.72,3.30"
" 9/ 9/ 27 (C),874.09,-36.65,-51.58,119.17,-85.72,3.30"
" 9/ 9/ 28 (C),700.89,-52.56,18.92,-83.25,-121.33,3.30"
" 9/ 9/ 29 (C),879.35,37.03,-48.26,110.49,86.14,3.30"
" 9/ 9/ 30 (C),713.87,37.02,18.91,-83.24,86.12,3.30"
" 9/ 9/ 31 (C),866.36,-52.54,-48.26,110.49,-121.32,3.30"
" 9/ 9/ 32 (C),745.04,-19.36,2.08,-35.38,-45.41,3.30"
" 9/ 9/ 33 (C),847.17,28.47,-36.57,76.08,65.39,3.30"
" 9/ 9/ 34 (C),751.97,28.47,2.08,-35.38,65.38,3.30"
" 9/ 9/ 35 (C),840.24,-19.36,-36.57,76.08,-45.40,3.30"
" 9/ 9/ 36 (C),740.79,-28.11,3.91,-40.16,-64.98,3.30"
" 9/ 9/ 37 (C),842.93,19.73,-34.74,71.31,45.81,3.30"
" 9/ 9/ 38 (C),747.72,19.73,3.91,-40.15,45.80,3.30"
" 9/ 9/ 39 (C),835.99,-28.10,-34.74,71.31,-64.97,3.30"
